Handle,Product ID,Front Label PNG,Front Label PDF,Rear Label PNG,Rear Label PDF,SKU Tile PNG,QR Feed Chart URL,App Product URL
ax-pro,ax-pro,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-AXP-1L_A-X_PRO_1L_FRONT_LABEL_v13_REAR_CHART.png,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-AXP-1L_A-X_PRO_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-AXP-1L_A-X_PRO_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-AXP-1L_A-X_PRO_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/03_APP_ASSETS_9SKU/CATALYX_APP_SKU_TILE_AX_PRO_v17.png,/feed-chart?product=ax-pro&source=shopify,/products/ax-pro
bx-pro,bx-pro,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-BXP-1L_B-X_PRO_1L_FRONT_LABEL_v13_REAR_CHART.png,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-BXP-1L_B-X_PRO_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-BXP-1L_B-X_PRO_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-BXP-1L_B-X_PRO_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/03_APP_ASSETS_9SKU/CATALYX_APP_SKU_TILE_BX_PRO_v17.png,/feed-chart?product=bx-pro&source=shopify,/products/bx-pro
root-x,root-x,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-ROT-1L_ROOT-X_1L_FRONT_LABEL_v13_REAR_CHART.png,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-ROT-1L_ROOT-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-ROT-1L_ROOT-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-ROT-1L_ROOT-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/03_APP_ASSETS_9SKU/CATALYX_APP_SKU_TILE_ROOTX_v17.png,/feed-chart?product=root-x&source=shopify,/products/root-x
vital-x,vital-x,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-VIT-1L_VITAL-X_1L_FRONT_LABEL_v13_REAR_CHART.png,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-VIT-1L_VITAL-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-VIT-1L_VITAL-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-VIT-1L_VITAL-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/03_APP_ASSETS_9SKU/CATALYX_APP_SKU_TILE_VITALX_v17.png,/feed-chart?product=vital-x&source=shopify,/products/vital-x
pk-x,pk-x,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-PKX-1L_PK-X_1L_FRONT_LABEL_v13_REAR_CHART.png,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-PKX-1L_PK-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-PKX-1L_PK-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-PKX-1L_PK-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/03_APP_ASSETS_9SKU/CATALYX_APP_SKU_TILE_PKX_v17.png,/feed-chart?product=pk-x&source=shopify,/products/pk-x
ripen-x,ripen-x,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-RIP-1L_RIPEN-X_1L_FRONT_LABEL_v13_REAR_CHART.png,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-RIP-1L_RIPEN-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-RIP-1L_RIPEN-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-RIP-1L_RIPEN-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/03_APP_ASSETS_9SKU/CATALYX_APP_SKU_TILE_RIPENX_v17.png,/feed-chart?product=ripen-x&source=shopify,/products/ripen-x
micro-x,micro-x,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-MIC-1L_MICRO-X_1L_FRONT_LABEL_v13_REAR_CHART.png,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-MIC-1L_MICRO-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-MIC-1L_MICRO-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-MIC-1L_MICRO-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/03_APP_ASSETS_9SKU/CATALYX_APP_SKU_TILE_MICROX_v17.png,/feed-chart?product=micro-x&source=shopify,/products/micro-x
trace-x,trace-x,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-TRC-1L_TRACE-X_1L_FRONT_LABEL_v13_REAR_CHART.png,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-TRC-1L_TRACE-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-TRC-1L_TRACE-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-TRC-1L_TRACE-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/03_APP_ASSETS_9SKU/CATALYX_APP_SKU_TILE_TRACEX_v17.png,/feed-chart?product=trace-x&source=shopify,/products/trace-x
flush-x,flush-x,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-FLS-1L_FLUSH-X_1L_FRONT_LABEL_v13_REAR_CHART.png,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-FLS-1L_FLUSH-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-FLS-1L_FLUSH-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-FLS-1L_FLUSH-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/03_APP_ASSETS_9SKU/CATALYX_APP_SKU_TILE_FLUSHX_v17.png,/feed-chart?product=flush-x&source=shopify,/products/flush-x
